engine_id,cylinder,source,cluster,cosine,l2
val_0001,16,val_full,U1,0.909,34.21
val_0008,11,val_full,U3,0.966,81.9
val_0011,2,val_full,U3,0.788,101.82
val_0011,13,val_full,U3,0.787,106.65
val_0014,11,val_full,U1,0.966,63.46
val_0019,7,val_full,U3,0.859,62.33
val_0021,9,val_full,U2,0.951,121.11
val_0025,14,val_full,U3,0.754,88.41
val_0027,4,val_full,U3,0.961,59.3
val_0031,2,val_full,U1,0.954,56.53
val_0036,8,val_full,U3,0.969,55.35
val_0039,1,val_full,U2,0.949,53.66
train_0000,4,train_tabpfn,U2,0.815,55.49
train_0000,6,train_tabpfn,U3,0.824,44.41
train_0012,7,train_tabpfn,U1,0.934,30.57
train_0014,6,train_tabpfn,U2,0.786,41.08
train_0017,2,train_tabpfn,U3,0.656,59.22
train_0025,5,train_tabpfn,U3,0.722,81.93
train_0028,3,train_tabpfn,U3,0.963,86.08
train_0029,5,train_tabpfn,U2,0.858,66.85
train_0030,7,train_tabpfn,U3,0.816,61.11
train_0032,4,train_tabpfn,U1,0.952,41.71
train_0034,12,train_tabpfn,U3,0.841,64.89
train_0038,5,train_tabpfn,U2,0.769,39.79
train_0041,3,train_tabpfn,U2,0.888,77.95
train_0042,2,train_tabpfn,U2,0.931,97.9
train_0043,8,train_tabpfn,U3,0.792,41.89
train_0048,6,train_tabpfn,U2,0.951,83.97
train_0054,1,train_tabpfn,U2,0.854,55.53
train_0056,7,train_tabpfn,U3,0.722,93.45
train_0058,5,train_tabpfn,U3,0.877,76.47
train_0066,3,train_tabpfn,U2,0.901,78.16
train_0069,4,train_tabpfn,U2,0.924,84.28
train_0070,8,train_tabpfn,U3,0.841,57.71
train_0071,6,train_tabpfn,U3,0.971,79.57
train_0073,4,train_tabpfn,U3,0.963,65.44
train_0076,7,train_tabpfn,U2,0.915,85.13
train_0081,3,train_tabpfn,U2,0.81,44.6
train_0081,5,train_tabpfn,U2,0.937,102.18
train_0090,11,train_tabpfn,U2,0.861,58.66
train_0091,11,train_tabpfn,U2,0.888,66.3
train_0094,3,train_tabpfn,U3,0.963,87.58
train_0095,2,train_tabpfn,U3,0.825,48.72
train_0102,8,train_tabpfn,U2,0.897,70.38
train_0106,12,train_tabpfn,U2,0.881,37.72
train_0107,1,train_tabpfn,U3,0.879,49.06
train_0109,3,train_tabpfn,U2,0.86,34.06
train_0110,10,train_tabpfn,U2,0.823,48.92
train_0111,5,train_tabpfn,U1,0.951,58.93
train_0114,2,train_tabpfn,U2,0.921,57.16
train_0117,9,train_tabpfn,U1,0.85,41.21
train_0119,5,train_tabpfn,U2,0.784,55.44
train_0121,7,train_tabpfn,U2,0.946,58.46
train_0123,9,train_tabpfn,U1,0.915,45.56
train_0126,10,train_tabpfn,U3,0.975,55.66
train_0127,1,train_tabpfn,U1,0.893,33.72
train_0129,6,train_tabpfn,U3,0.699,111.53
train_0130,10,train_tabpfn,U1,0.926,33.04
train_0131,1,train_tabpfn,U3,0.958,70.75
train_0131,6,train_tabpfn,U2,0.823,31.87
train_0132,7,train_tabpfn,U1,0.948,40.83
train_0133,13,train_tabpfn,U2,0.905,82.43
train_0135,7,train_tabpfn,U2,0.869,97.45
train_0137,2,train_tabpfn,U2,0.865,55.51
train_0138,5,train_tabpfn,U2,0.957,109.1
train_0139,1,train_tabpfn,U3,0.79,98.38
train_0142,5,train_tabpfn,U3,0.73,76.8
train_0148,1,train_tabpfn,U3,0.85,55.45
train_0152,2,train_tabpfn,U3,0.89,41.54
train_0160,1,train_tabpfn,U2,0.923,38.68
train_0161,8,train_tabpfn,U3,0.827,48.96
train_0162,12,train_tabpfn,U1,0.953,32.83
train_0167,8,train_tabpfn,U3,0.911,56.79
train_0171,7,train_tabpfn,U2,0.896,36.57
train_0172,3,train_tabpfn,U3,0.963,89.5
train_0174,8,train_tabpfn,U2,0.89,66.29
train_0177,2,train_tabpfn,U3,0.948,49.6
train_0182,2,train_tabpfn,U2,0.891,54.32
train_0203,6,train_tabpfn,U3,0.925,66.15
train_0204,4,train_tabpfn,U1,0.902,58.1
train_0208,3,train_tabpfn,U2,0.913,46.96
train_0209,7,train_tabpfn,U2,0.828,46.58
train_0211,1,train_tabpfn,U2,0.81,53.61
train_0215,6,train_tabpfn,U3,0.943,64.17
train_0219,2,train_tabpfn,U3,0.962,75.17
train_0221,3,train_tabpfn,U3,0.846,60.09
train_0222,4,train_tabpfn,U2,0.858,68.49
train_0227,10,train_tabpfn,U3,0.954,95.93
train_0232,4,train_tabpfn,U2,0.704,40.82
train_0238,2,train_tabpfn,U1,0.951,47.79
train_0239,4,train_tabpfn,U2,0.882,57.08
