engine_id,cylinder,label,severity
test_0000,1,ok,nie_dotyczy
test_0000,2,zakoksowany,srednie
test_0000,3,iglica,male
test_0000,4,unknown,nie_dotyczy
test_0000,5,lejacy,duze
test_0000,6,pompa,srednie
test_0000,7,ok,nie_dotyczy
test_0000,8,zakoksowany,srednie
test_0000,9,iglica,male
test_0000,10,unknown,nie_dotyczy
test_0000,11,lejacy,duze
test_0000,12,pompa,srednie
test_0001,1,ok,nie_dotyczy
test_0001,2,zakoksowany,srednie
test_0001,3,iglica,male
test_0001,4,unknown,nie_dotyczy
test_0001,5,lejacy,duze
test_0001,6,pompa,srednie
test_0001,7,ok,nie_dotyczy
test_0001,8,zakoksowany,srednie
test_0002,1,iglica,male
test_0002,2,unknown,nie_dotyczy
test_0002,3,lejacy,duze
test_0002,4,pompa,srednie
test_0002,5,ok,nie_dotyczy
test_0002,6,zakoksowany,srednie
test_0002,7,iglica,male
test_0002,8,unknown,nie_dotyczy
test_0003,1,lejacy,duze
test_0003,2,pompa,srednie
test_0003,3,ok,nie_dotyczy
test_0003,4,zakoksowany,srednie
test_0003,5,iglica,male
test_0003,6,unknown,nie_dotyczy
test_0003,7,lejacy,duze
test_0003,8,pompa,srednie
test_0003,9,ok,nie_dotyczy
test_0003,10,zakoksowany,srednie
test_0003,11,iglica,male
test_0003,12,unknown,nie_dotyczy
test_0003,13,lejacy,duze
test_0003,14,pompa,srednie
test_0003,15,ok,nie_dotyczy
test_0003,16,zakoksowany,srednie
test_0004,1,iglica,male
test_0004,2,unknown,nie_dotyczy
test_0004,3,lejacy,duze
test_0004,4,pompa,srednie
test_0004,5,ok,nie_dotyczy
test_0004,6,zakoksowany,srednie
test_0004,7,iglica,male
test_0004,8,unknown,nie_dotyczy
test_0005,1,lejacy,duze
test_0005,2,pompa,srednie
test_0005,3,ok,nie_dotyczy
test_0005,4,zakoksowany,srednie
test_0005,5,iglica,male
test_0005,6,unknown,nie_dotyczy
test_0005,7,lejacy,duze
test_0005,8,pompa,srednie
test_0006,1,ok,nie_dotyczy
test_0006,2,zakoksowany,srednie
test_0006,3,iglica,male
test_0006,4,unknown,nie_dotyczy
test_0006,5,lejacy,duze
test_0006,6,pompa,srednie
test_0006,7,ok,nie_dotyczy
test_0006,8,zakoksowany,srednie
test_0006,9,iglica,male
test_0006,10,unknown,nie_dotyczy
test_0006,11,lejacy,duze
test_0006,12,pompa,srednie
test_0006,13,ok,nie_dotyczy
test_0006,14,zakoksowany,srednie
test_0006,15,iglica,male
test_0006,16,unknown,nie_dotyczy
test_0007,1,lejacy,duze
